State,FIPS,County,Veteran Population,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients
IA,19073,GREENE,739.46,2455660.21,1166747.63,0,50234.22,0,0,117686.16,1120992.2,259.11
IA,19075,GRUNDY,1135.21,2359718.2,1086248.3,0,164352.03,0,0,185438.82,923679.06,291.13
IA,19077,GUTHRIE,1034.65,2782240.94,1168427.56,0,87991.56,0,0,43400.97,1482420.85,281.12
IA,19079,HAMILTON,1349.36,4158526.93,1967334.54,0,120414.96,0,0,28408.57,2042368.86,472.2
IA,19081,HANCOCK,1181.54,3567441.53,1461450.06,0,133588.77,0,0,188218.75,1784183.96,423.18
IA,19083,HARDIN,1606.23,4703339.87,2031373.87,0,143197.03,0,0,155035.64,2373733.33,534.23
IA,19085,HARRISON,1530.2,5348156.33,2518188.15,0,120570.42,0,0,68024.49,2641373.27,326.14
IA,19087,HENRY,1417.18,5568049.96,2396938.78,0,220740.18,0,0,68781.52,2881589.47,419.18
IA,19089,HOWARD,822.98,3517941.81,1268463.31,0,62285.81,0,0,45894.17,2141298.52,353.15
IA,19091,HUMBOLDT,835.68,2633886.77,1166564.68,0,75682.27,0,0,56351.52,1335288.31,401.17
IA,19093,IDA,736.25,1929474.32,884430.09,0,33596.95,0,0,70749.71,940697.57,204.09
IA,19095,IOWA,1341.55,6082047.22,1782663.37,0,100405.62,0,0,58780.25,4140197.98,390.17
IA,19097,JACKSON,2121.7,5632197.9,2693669.97,0,200583.85,0,0,14765.36,2723178.71,587.25
IA,19099,JASPER,3004.18,8763664.11,3799501.52,0,200578.07,0,0,147058.19,4616526.34,725.31
IA,19101,JEFFERSON,1324.2,4010989.76,1537058.3,0,168715.37,0,0,162146.55,2143069.55,320.14
IA,19103,JOHNSON,6607.37,28300211.07,8697455.81,0,2629535.07,0,0,588883.68,16384336.51,1623.7
IA,19105,JONES,2126.36,6653896.39,2399890.75,0,134538.99,0,0,140860.05,3978606.6,611.26
IA,19107,KEOKUK,893.28,4099901.68,1394345.37,0,73352.81,0,0,42758.5,2589445.01,357.15
IA,19109,KOSSUTH,1409.9,4201407.95,2025273.24,0,78604.89,0,0,81332.67,2016197.14,657.28
IA,19111,LEE,3622.86,11888004.31,4714745.58,659033.75,347987.99,0,0,266320.42,5899916.56,785.34
IA,19113,LINN,18042.31,50154938.68,20046804.68,0,2692792.27,0,0,1148286.25,26267055.48,4139.79
IA,19115,LOUISA,829.38,3502449,1083479.98,0,58018.02,0,0,114358.09,2246592.91,240.1
IA,19117,LUCAS,620.75,3392391.85,1193647.98,0,17518.42,0,0,217765.93,1963459.51,245.11
IA,19119,LYON,690.51,3848951.53,1226930.21,0,29198.9,0,0,59585.81,2533236.61,279.12
IA,19121,MADISON,1388.61,3728425.94,1669186.66,0,98254.37,0,0,28792.98,1932191.93,373.16
IA,19123,MAHASKA,1686.74,7081178.35,2535085.27,0,168901.09,0,0,67097.64,4310094.34,476.21
IA,19125,MARION,2753.47,25239579.63,7371193.77,0,225061.03,0,0,187018.51,17456306.33,974.42
IA,19127,MARSHALL,2949.21,25963297.95,11975902.96,0,348077.51,0,0,334759.02,13304558.47,1440.62
IA,19129,MILLS,1626.05,6427653.14,3435916.89,0,607145.25,0,0,108700.82,2275890.18,292.13
IA,19131,MITCHELL,988.05,3821317.99,1887962.07,0,117407.48,0,0,76525.13,1739423.31,401.17
IA,19133,MONONA,1011.5,3661340.09,1535758.89,0,63259.33,0,0,218639.58,1843682.28,268.12
IA,19135,MONROE,612.65,3996666.78,1838418.47,0,87073.18,0,0,42359.61,2028815.51,245.11
IA,19137,MONTGOMERY,904.63,3639271.87,1740115.97,0,83935.77,0,0,85999.97,1729220.16,267.12
IA,19139,MUSCATINE,3267.29,8440988.91,3371229.54,0,241244.73,0,0,107495.21,4721019.44,593.26
IA,19141,O'BRIEN,1168.8,4829190.01,1835963.2,0,73024.79,0,0,338043.88,2582158.14,466.2
IA,19143,OSCEOLA,583.49,1751732.6,603734.54,0,8594.76,0,0,21718.21,1117685.09,200.09
IA,19145,PAGE,1427.82,4382820.41,2117878.36,0,187707.11,0,0,90121.58,1987113.36,335.14
IA,19147,PALO ALTO,875.9,3207420.65,1414280.1,0,61132.86,0,0,89407.84,1642599.85,364.16
IA,19149,PLYMOUTH,2390.54,4683418.89,2052530.27,0,123999.39,0,0,219701.34,2287187.89,630.27
IA,19151,POCAHONTAS,972.49,2609452.88,1282720.48,0,81034.44,0,0,85851.97,1159845.99,332.14
IA,19153,POLK,26838.57,127921564.5,45011981.45,303599.14,4821972.98,0,8881730.28,3111990.97,65790289.7,7538.26
IA,19155,POTTAWATTAMIE,8223.18,35143924.31,16355046.85,0,1267976.85,0,0,497455.45,17023445.17,2002.87
IA,19157,POWESHIEK,1472.18,4585068.59,1835094.78,0,101762.64,0,0,105520.92,2542690.26,384.17
IA,19159,RINGGOLD,536.23,1623174.66,707396.47,0,9698.72,0,0,1175.45,904904.02,133.06
IA,19161,SAC,1204.09,3394302.92,1662878.34,0,28996.22,0,0,22538.55,1679889.81,372.16
IA,19163,SCOTT,13894.35,37854781.6,17352669.26,0,2059367.99,0,0,874495.92,17568248.44,3101.34
IA,19165,SHELBY,1174.47,4109121.31,2107387.81,0,77003.02,0,0,86842.09,1837888.39,327.14
IA,19167,SIOUX,1832.95,5248359.95,2008404.46,0,109610.88,0,0,161990.52,2968354.1,640.28
IA,19169,STORY,5248.85,12369163.86,5070847.88,0,2167920.71,0,0,467187.27,4663208.01,880.38
IA,19171,TAMA,1619.99,4938922.93,2122647,0,98490.09,0,0,89572.81,2628213.03,490.21
IA,19173,TAYLOR,555.09,1997936.98,981668.07,0,38262.56,0,0,15641.56,962364.79,156.07
